İşlemci,İşlemci Serisi,İşlemci Modeli,Jenerasyon,Arttırılmış Frekans(GHz),Çekirdek,Temel Frekans(GHz),uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,İşlemci Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600,5.Nesil,4.4,6.0,3.5,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600-4-40-ghz-6-cekirdek-35-mb-am4-7-nm-islemci-fiyatlari,1504556177",AMD Ryzen 5 5600 4.40 Ghz 6 Çekirdek 35 MB AM4 7 nm İşlemci,3078.55,3658.0,21.539,3,381,55,315
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5500,5.Nesil,4.2,6.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5500-4-20-ghz-6-cekirdek-19-mb-am4-7-nm-islemci-fiyatlari,1504556176",AMD Ryzen 5 5500 4.20 Ghz 6 Çekirdek 19 MB AM4 7 nm İşlemci,2019.99,2232.0,19.506,3,73,73,277
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600X,5.Nesil,4.6,6.0,3.7,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600x-3-7-ghz-soket-am4-32-mb-cache-65-w-islemci-fiyatlari,670190923",AMD Ryzen 5 5600X 3.7 GHz Soket AM4 32 MB Cache 65 W İşlemci,3648.0,4243.0,21.931,0,17,49,342
Ryzen 5,AMD Ryzen 5,AMD Ryzen 5 3600,2.Nesil,3.9,6.0,3.6,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-3600-3-4ghz3-9ghz-am4-islemci-fiyatlari,111838675",AMD Ryzen 5 3600 3.40 GHz AM4 6 Çekirdekli İşlemci,2136.48,3068.0,17.794,3,11,61,162
Ryzen 7,AMD Ryzen,AMD Ryzen 7 5800X,5.Nesil,4.7,8.0,3.8,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-7-5800x-3-8ghz-36mb-am4-islemci-fiyatlari,683578749",AMD Ryzen 7 5800X 3.8GHZ 36MB AM4 İşlemci,5409.0,5819.0,28.086,0,214,119,191
Core i3,Intel Core,Intel Core i3-13100F,10.Nesil,4.3,4.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i3-10100f-3-6-ghz-lga1200-islemci-fiyatlari,661239770",Intel Core i3 10100F 3.6 GHz LGA1200 İşlemci,1400.91,1655.0,15.378,3,103,87,362
Core i5,Intel Core,Intel Core i5-12400F,12.Nesil,4.4,6.0,2.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-12400f-4-40-ghz-6-cekirdek-18-mb-1700p-10mm-islemci-fiyatlari,1266257450",Intel Core i5 12400F 4.40 GHz 6 Çekirdek 18 MB 1700P 10MM İşlemci,3612.92,4116.0,19.73,6,81,209,353
Core i5,Intel Core,Intel Core i5-13400F,11.Nesil,4.4,6.0,2.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-11400f-2-6-ghz-12mb-lga1200p-islemci-fiyatlari,772528433",Intel Core i5-11400F 2.6 Ghz 12MB LGA1200P İşlemci,2629.99,3013.0,25.779,6,10,339,142
Ryzen 9,AMD Ryzen,AMD Ryzen 9 5900X,5.Nesil,4.8,12.0,3.7,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-9-5900x-12-cekirdek-3-7-ghz-70-mb-fansiz-am4-105w-ekran-karti-gerekir-fiyatlari,688517290",AMD RYZEN 9 5900X 12 Çekirdek 3.7 Ghz 70 MB FANSIZ AM4 105W (Ekran Kartı Gerekir),7719.99,8620.0,39.272,0,171,304,174
Ryzen 5,AMD Ryzen 5,AMD Ryzen 5 1600,,3.2,6.0,3.2,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-1600-3-2ghz-3-6ghz-3mb16mb-am4-islemci-fiyatlari,41476558",AMD Ryzen 5 1600 3.20 GHz GHz AM4 6 Çekirdekli İşlemci,1929.0,3219.0,12.297,3,3,42,40
Intel,Core i5,Intel Core i5-13400,10.Nesil,4.3,6.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-10400-2-9-ghz-12mb-lga1200p-islemci-fiyatlari,591935683",Intel Core i5-10400 2.9 Ghz 12MB LGA1200P İşlemci,2759.75,3186.0,26.205,6,7,375,332
Ryzen 5,AMD Ryzen 5,AMD Ryzen 5 2600,2.Nesil,3.9,6.0,3.4,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-2600-3-4ghz-am4-soket-16mb-onbellek-65w-islemci-fiyatlari,93690865",AMD Ryzen 5 2600 3.40 GHz 6 Çekirdekli İşlemci,2099.0,2704.0,13.231,3,3,333,152
Core i7,Intel Core,Intel Core i7-13700K,11.Nesil,5.0,8.0,3.6,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-11700k-3-60ghz-16mb-1200p-islemci-fiyatlari,773472394",Intel Core i7-11700K 3.60GHz 16MB 1200P İşlemci,6199.0,7624.0,47.03,0,80,198,222
Intel,Core i5,Intel Core i5-13400F,10.Nesil,4.3,6.0,2.9,"https://www.cimri.com/islemci/en-ucuz-intel-core-i5-10400f-2-9-ghz-12mb-lga1200p-islemci-fiyatlari,616698804",Intel Core i5-10400F 2.9 Ghz 12MB LGA1200P İşlemci,2249.0,2329.0,25.779,6,7,155,332
Core i9,Intel Core,Intel Core i9-13900K,11.Nesil,5.3,8.0,3.5,"https://www.cimri.com/islemci/en-ucuz-intel-core-i9-11900k-socket-1200-11-nesil-3-50ghz-16mb-onbellek-14nm-islemci-fiyatlari,838004527",Intel Core i9 11900K Socket 1200 11. Nesil 3.50GHz 16MB Önbellek 14nm İşlemci,6849.0,10014.0,60.088,0,78,180,143
Ryzen 5,AMD Ryzen,AMD Ryzen 5 5600G,5.Nesil,4.4,6.0,3.9,"https://www.cimri.com/islemci/en-ucuz-amd-ryzen-5-5600g-6-cekirdekli-12-disli-masaustu-islemci-radeon-grafikli-fiyatlari,892970836",AMD Ryzen 5 5600G 6 Çekirdekli 12 Dişli Masaüstü İşlemci Radeon Grafikli,3049.0,3389.0,19.861,0,27,31,17
Core i7,İntel Core i7,Intel Core i7-1370P,3.Nesil,3.9,4.0,3.4,"https://www.cimri.com/islemci/en-ucuz-intel-core-i7-3770-3-4ghz-1155pin-islemci-fiyatlari,310647",Intel Core i7 3770 3.40 GHz 4 Çekirdekli 1155Pin İşlemci,1400.64,1725.0,25.032,3,107,130,272
