Bellek Boyutu(GB),İşlemci Üreticisi,Ekran Kartı Modeli,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ekran Kartı Skoru,Cluster Label,Cosine Similar,1.NearestNeighbor,2.NearestNeighbor
8.0,NVIDIA,GeForce RTX 3060 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-geforce-dual-rtx-3060ti-dual-rtx3060ti-o8g-8gb-oc-256bit-gddr6-dx12-pci-express-4-0-ekran-karti-fiyatlari,688017284",Asus GeForce Dual RTX 3060Ti DUAL-RTX3060TI-O8G 8GB OC 256Bit GDDR6 DX12 PCI-Express 4.0 Ekran Kartı,8299.0,13008.0,20.544,2,45,71,62
8.0,NVIDIA,GeForce RTX 3060 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3060-ti-gaming-z-trio-8gb-lhr-gddr6-256bit-nvidia-ekran-karti-fiyatlari,908354361",MSI GEFORCE RTX 3060 TI GAMING Z TRIO 8GB LHR GDDR6 256bit NVIDIA Ekran Kartı,12897.31,14476.0,20.544,2,57,2,9
8.0,NVIDIA,GeForce RTX 3060 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-rog-strix-geforce-rtx-3060-ti-oc-rog-strix-rtx3060ti-o8g-gaming-8gb-gddr6-256bit-dx12-gaming-ekran-karti-fiyatlari,687952473",Asus ROG Strix GeForce RTX 3060 Ti OC ROG-STRIX-RTX3060TI-O8G-GAMING 8GB GDDR6 256Bit DX12 Gaming Ekran Kartı,11899.0,14497.0,20.544,2,135,1,9
12.0,NVIDIA,GeForce RTX 3060,"https://www.cimri.com/ekran-kartlari/en-ucuz-colorful-geforce-rtx-3060-igame-ultra-w-oc-12g-l-v-12-gb-gddr6-192-bit-ekran-karti-fiyatlari,1103458280",Colorful GeForce RTX 3060 iGame Ultra W OC 12G L-V 12 GB GDDR6 192 Bit Ekran Kartı,10413.72,11775.0,17.156,2,29,108,266
16.0,AMD,Radeon RX 6900 XT,"https://www.cimri.com/ekran-kartlari/en-ucuz-sapphire-amd-radeon-rx-6900-xt-nitro-oc-11308-03-20g-16-gb-gddr6-256-bit-ekran-karti-fiyatlari,800474154",Sapphire AMD Radeon RX 6900 XT Nitro+ OC 11308-03-20G 16 GB GDDR6 256 Bit Ekran Kartı,20076.21,37751.0,26.814,1,150,395,358
12.0,NVIDIA,GeForce RTX 3080 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-rog-strix-geforce-rtx-3080-ti-oc-rog-strix-rtx3080ti-o12g-gaming-12gb-gddr6x-384bit-dx12-gaming-oyuncu-ekran-karti-fiyatlari,899684228",Asus ROG Strix GeForce RTX 3080 Ti OC ROG-STRIX-RTX3080TI-O12G-GAMING 12GB GDDR6X 384Bit DX12 Gaming (Oyuncu) Ekran Kartı,29947.5,38844.0,27.402,1,2,374,427
24.0,NVIDIA,RTX A6000,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3090-suprim-x-24g-24gb-gddr6x-384bit-dx12-gaming-ekran-karti-fiyatlari,695745108",MSI GeForce RTX 3090 SUPRIM X 24G 24GB GDDR6X 384Bit DX12 Gaming Ekran Kartı,45362.96,52909.0,22.129,1,370,370,27
4.0,NVIDIA,GeForce GTX 1050 Ti,"https://www.cimri.com/ekran-kartlari/en-ucuz-asus-cerberus-gtx1050ti-o4g-4-gb-ekran-karti-fiyatlari,70011783",Asus CERBERUS-GTX1050TI-O4G 4 Gb Ekran Kartı,4199.99,4457.0,6.296,0,240,523,494
6.0,NVIDIA,GeForce GTX 1660 SUPER,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-gtx-1660-super-gaming-x-6gb-gddr6-192bit-dx12-gaming-ekran-karti-fiyatlari,442783740",Msi GeForce GTX 1660 Super Gaming X 6GB GDDR6 192Bit DX12 Gaming Ekran Kartı,7600.38,8274.0,12.79,0,70,130,452
12.0,NVIDIA,GeForce RTX 3060,"https://www.cimri.com/ekran-kartlari/en-ucuz-msi-geforce-rtx-3060-ventus-3x-12g-oc-12gb-gddr6-192bit-nvidia-ekran-karti-fiyatlari,917714204",MSI GEFORCE RTX 3060 VENTUS 3X 12G OC 12GB GDDR6 192Bit NVIDIA Ekran Kartı,8899.0,10360.0,17.156,2,431,242,277
