Ekran Boyutu,İşletim Sistemi,Ekran Çözünürlüğü,Ekran Panel Tipi,Ekran Çözünürlük Biçimi,Ağırlık,Ram(Bellek) Boyutu,İşlemci Modeli,İşlemci Arttırılmış Frekans,İşlemci Çekirdek Sayısı,İşlemci Markası,İşlemci Temel Frekans,İşlemci Önbelleği,Ram(Bellek) Türü,SSD Boyutu,uri,Ürün Adı,En Düşük Fiyat,Medyan Fiyat,Ram(Bellek) Frekansı,Sabit Disk(HDD) Boyutu,Harici Ekran Kartı Belleği,Harici Ekran Kartı Modeli
15.6 inç,FreeDos,1920x1080 Piksel,LED (IPS),Full HD,1.90 kg,8 GB,AMD Ryzen 3 3250U,3.50 GHz,2 Çekirdek,AMD,2.60 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-acer-extensa-ex215-22-nx-eg9ey-004-amd-ryzen-3-3250u-8gb-ram-256gb-ssd-15-6-inc-freedos-laptop-notebook-fiyatlari,1706068141",Acer Extensa EX215-22 NX.EG9EY.004 AMD Ryzen 3 3250U 8GB Ram 256GB SSD 15.6 inç Freedos Laptop - Notebook,7039.68,7449,,,,
15.6 İnç,Windows,1920x1080 Piksel,LED (TN),Full HD,,8 GB,N4020,2.60 GHz,2 Çekirdek,Intel,2.40 GHz,4 MB,DDR4,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-ideapad-3-15igl05-81wq002ttx-celeron-n4020-4-gb-128-gb-ssd-windows-10-home-15-6-inc-full-hd-laptop-notebook-fiyatlari,978263066",Lenovo IdeaPad 3 15IGL05 81WQ002TTX Celeron N4020 4 GB 128 GB SSD Windows 10 Home 15.6 inç Full HD Laptop - Notebook,5799.0,5848,2400 MHz,128 GB,4 GB,NVIDIA GeForce GTX 1650
15.6 inç,FreeDos,1366x768 Piksel,LCD,HD,1.90 kg,4 GB,Intel Core i3-1005G1,3.40 GHz,2 Çekirdek,Intel,1.20 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-acer-ex215-52-nx-eg8ey-001-intel-core-i3-1005g1-4-gb-ram-256-gb-ssd-freedos-15-6-hd-tasinabilir-bilgisayar-fiyatlari,2077388395","Acer EX215-52 NX.EG8EY.001 Intel Core i3-1005G1 4 GB Ram 256 GB SSD Freedos 15.6"" Hd Taşınabilir Bilgisayar",6950.0,7547,,Yok,Yok,Yok
15.6 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.66 kg,8 GB,AMD Ryzen 5 5500U,4.00 GHz,6 Çekirdek,AMD,2.10 GHz,8 MB,DDR4,512 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ln00cctx-8-gb-ram-512-gb-ssd-15-6-fhd-freedos-tasinabilir-bilgisayar-fiyatlari,2059353784",Lenovo 82LN00CCTX 8 GB Ram 512 GB SSD 15.6'' FHD Freedos Taşınabilir Bilgisayar,9784.05,10249,3200 MHz,,,
14.0 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.60 kg,8 GB,İntel Core i3-1115G4,4.10 GHz,4 Çekirdek,Intel,3.00 GHz,6 MB,DDR4,,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-82ka001ttx-v14-g2-itl-intel-core-i3-1115g4-8-gb-256-gb-14-inc-freedos-dizustu-bilgisayar-fiyatlari,2071507733",Lenovo 82KA001TTX V14 G2 ITL Intel Core i3-1115G4 8 GB 256 GB 14 inç Freedos Dizüstü Bilgisayar,8879.99,9299,3200 MHz,,,
15.6 inç,DOS,1920x1080 Piksel,LED (TN),FHD,1.70 kg,8 GB,AMD Ryzen 5 5500U,4.00 GHz,6 Çekirdek,AMD,2.10 GHz,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-lenovo-v15-82kd0042tx-amd-ryzen-5-5500u-8-gb-ram-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1946486038","Lenovo V15 82KD0042TX AMD Ryzen 5 5500U 8 GB Ram 256 GB SSD 15.6"" Dizüstü Bilgisayar",8908.06,9571,3200 MHz,,,
15 İnç,FreeDos,1366x768 Piksel,LED (IPS),HD,1.78 kg,4 GB,AMD Ryzen 3 3200U,3.50 GHz,2 Çekirdek,AMD,2.60 GHz,4 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-hp-255-g7-255s4es-ryzen-3-3200u-4gb-ram-256gb-m2-ssd-freedos-15-inc-dizustu-bilgisayar-fiyatlari,731398111","HP 255 G7 255S4ES Ryzen 3 3200U 4GB RAM 256GB M2 SSD Freedos 15, inç  Dizüstü Bilgisayar",8499.0,9499,2400 MHz,Yok,Yok,Yok
15.6 inç,Windows,1920 x1080 Piksel,IPS,Full HD,1.8 kg,4 GB,Intel Core i3-1115G4,4.10 GHz,2 Çekirdek,Intel,3.00 GHz,6 MB,DDR4,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-x515ea-bq2293wi3-11155g44gb-ram128gb-ssd15-6win11-gri-laptop-fiyatlari,2061860310","Asus X515Ea-Bq2293W/I3-11155G4/4Gb Ram/128Gb Ssd/15.6""/Win11 Gri Laptop",7391.04,8250,3200 MHz,,,
15.6 İnç,Windows,1366x768 Piksel,LED,HD,1.90 kg,4 GB,AMD A9-9425,,2,AMD,3.10 GHz,1 MB,DDR4,128 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-d509ba-ej077t-amd-a9-9425-4gb-ram-128gb-ssd-15-6-inc-windows-10-home-laptop-notebook-fiyatlari,1042281870",Asus D509BA-EJ077T AMD A9 9425 4GB Ram 128GB SSD 15.6 inç Windows 10 Home Laptop - Notebook,5999.0,6400,2400 MHz,Yok,Yok,Yok
15.6 inç,FreeDos,1920x1080 Piksel,LED (TN),Full HD,1.80 kg,8 GB,Intel Core i5-1135G7,4.20 GHz,4 Çekirdek,Intel,,8 MB,DDR4,256 GB,"https://www.cimri.com/dizustu-bilgisayar/en-ucuz-asus-x515ea-ej1229-i5-1135g7-8-gb-ram-256-gb-ssd-15-6-dizustu-bilgisayar-fiyatlari,1350680605","Asus X515EA-EJ1229 i5-1135G7 8 GB Ram 256 GB SSD 15.6"" Dizüstü Bilgisayar",9926.4,12344,,,,
