Ağırlık(kg),İşlemci Arttırılmış Frekans(GHz),İşlemci Çekirdek Sayısı,İşlemci Temel Frekans(GHz),İşlemci Önbelleği(MB),Ram(Bellek) Boyutu(GB),Ram(Bellek) Frekansı(MHz),Ekran Boyutu(inç),Harici Ekran Kartı Belleği(GB),İşlemci Skoru,Medyan Fiyat,Ekran Kartı Skoru
0.03561068702290076,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0234375,,0.14814814814814814,,0.0029923580786026197,0.014115336226153491,
,0.0005161290322580645,0.0,0.2978723404255319,0.09375,0.0234375,0.234375,0.14814814814814814,0.125,0.018410480349344976,0.0038385498241199577,0.14081824415267793
0.03561068702290076,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0078125,,0.14814814814814814,,0.014281659388646289,0.014744396230775156,0.1746450973918785
0.02645038167938931,0.000967741935483871,0.25,0.23404255319148937,0.21875,0.0234375,0.359375,0.14814814814814814,,0.01310807860262009,0.032088479215343926,
0.024160305343511455,0.0009999999999999998,0.125,0.425531914893617,0.15625,0.0234375,0.359375,0.0888888888888889,,0.01124235807860262,0.02599044855829717,
0.027977099236641222,0.000967741935483871,0.25,0.23404255319148937,0.21875,0.0234375,0.359375,0.14814814814814814,,0.01310807860262009,0.027736411020104244,
0.031030534351145042,0.0008064516129032258,0.0,0.3404255319148936,0.09375,0.0078125,0.234375,0.12592592592592594,,0.002953056768558952,0.02727424448609649,0.1746450973918785
0.031793893129770996,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0078125,0.359375,0.14814814814814814,,0.01124235807860262,0.019256938916989756,
0.03561068702290076,,0.0,0.44680851063829785,0.0,0.0078125,0.234375,0.14814814814814814,,0.00040283842794759824,0.007381826584846073,0.1746450973918785
0.031793893129770996,0.001032258064516129,0.125,,0.21875,0.0234375,,0.14814814814814814,,0.034101528384279475,0.045536241559041776,
0.01919847328244275,0.001032258064516129,,0.12765957446808512,,0.0234375,0.234375,,,,0.00855008087914345,
0.024160305343511455,0.0005161290322580645,0.125,0.021276595744680868,0.09375,0.0078125,0.234375,0.0888888888888889,,0.17231986899563317,0.006252086168382674,
0.03561068702290076,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.0234375,0.31765625,0.14814814814814814,,0.034101528384279475,0.0317675302333941,
0.022251908396946567,0.0006774193548387097,0.0,0.3617021276595745,0.0625,0.0078125,0.109375,0.14814814814814814,,0.013049126637554587,0.008017305569106735,
,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0234375,0.359375,0.0888888888888889,,0.015101528384279476,0.03126684982155237,0.1746450973918785
0.024160305343511455,0.001032258064516129,0.125,0.2978723404255319,0.21875,0.1171875,0.2759375,0.14814814814814814,,0.034101528384279475,0.06161578555472822,
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0390625,0.359375,0.0888888888888889,,0.01124235807860262,0.02606747631396513,
0.027977099236641222,0.0005806451612903225,0.0,0.021276595744680868,0.09375,0.0078125,,0.14814814814814814,,0.0035589519650655018,0.0028821218579094666,
,,,,,0.0234375,,,,,0.006990268826867281,
0.026068702290076334,0.000967741935483871,0.25,0.23404255319148937,0.21875,0.0234375,0.359375,0.14814814814814814,,0.01310807860262009,0.030162785323644952,
0.024160305343511455,0.0009999999999999998,0.0,0.425531914893617,0.15625,0.0390625,0.359375,0.0888888888888889,,0.01124235807860262,0.03071481757259866,
0.01614503816793893,0.0009999999999999998,0.0,0.14893617021276595,0.15625,0.0078125,0.359375,0.0888888888888889,,0.01124235807860262,0.027582355508768325,0.1746450973918785
,,,,,0.0234375,,,,,0.045253806454925924,
0.033702290076335885,0.0007741935483870968,0.0,0.042553191489361694,0.09375,0.0234375,0.2759375,0.14814814814814814,,0.014281659388646289,0.026632346522196832,
0.02950381679389313,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0234375,0.359375,0.14814814814814814,,0.015101528384279476,0.034996276991809384,0.1746450973918785
0.026068702290076334,0.0009999999999999998,0.125,,0.15625,0.0234375,0.359375,0.14814814814814814,,0.01124235807860262,0.02342285670269854,
0.027977099236641222,0.0009999999999999998,0.0,0.23404255319148937,0.09375,0.0234375,0.2759375,0.14814814814814814,,0.011120087336244542,0.02727424448609649,
,,,,,0.0078125,,0.14814814814814814,,,0.01208693866023057,
0.027977099236641222,0.001064516129032258,0.375,0.1702127659574468,0.21875,0.0234375,0.359375,0.14814814814814814,,0.016056768558951964,0.04332169358358795,0.1746450973918785
0.02950381679389313,0.001064516129032258,0.25,0.276595744680851,0.46875,0.0234375,0.359375,0.14814814814814814,,0.015101528384279476,0.030984414717436515,0.1746450973918785
0.031793893129770996,0.0011935483870967743,0.125,,0.34375,0.0234375,0.06765625,0.14814814814814814,,0.013049126637554587,0.009975094359000694,0.1746450973918785
0.02377862595419848,0.001032258064516129,0.375,0.2978723404255319,0.21875,0.0078125,0.2759375,0.0888888888888889,,0.034101528384279475,0.016105219914242432,0.1746450973918785
0.02034351145038168,0.0008387096774193549,0.125,0.0,0.15625,0.0234375,0.359375,0.0888888888888889,,0.034101528384279475,0.024366446709631038,0.1746450973918785
